source,direction,entry,tp,sl,result,pnl,tf,openTime,rule
backtest,BUY,4299.80,4316.89,4291.25,win,1.71,M5,,DNA
backtest,BUY,4300.55,4317.15,4292.25,win,1.66,M5,,DNA
backtest,BUY,4299.18,4316.78,4290.38,win,1.76,M5,,DNA
backtest,BUY,4305.47,4324.31,4296.05,loss,-0.94,M5,,DNA
backtest,BUY,4306.08,4323.79,4297.22,loss,-0.89,M5,,DNA
backtest,BUY,4311.70,4331.47,4301.82,loss,-0.99,M5,,DNA
backtest,BUY,4308.82,4328.39,4299.04,loss,-0.98,M5,,DNA
backtest,BUY,4307.50,4328.34,4297.09,loss,-1.04,M5,,DNA
backtest,BUY,4309.34,4328.96,4299.54,loss,-0.98,M5,,DNA
backtest,BUY,4304.30,4324.74,4294.08,loss,-1.02,M5,,DNA
backtest,BUY,4300.67,4321.77,4290.12,loss,-1.06,M5,,DNA
backtest,BUY,4296.70,4317.91,4286.10,loss,-1.06,M5,,DNA
backtest,BUY,4298.24,4318.45,4288.13,loss,-1.01,M5,,DNA
backtest,BUY,4291.98,4307.82,4284.06,loss,-0.79,M5,,DNA
backtest,BUY,4289.84,4304.60,4282.47,loss,-0.74,M5,,DNA
backtest,BUY,4285.25,4300.04,4277.86,loss,-0.74,M5,,DNA
backtest,BUY,4287.09,4301.77,4279.75,loss,-0.73,M5,,DNA
backtest,BUY,4288.93,4303.59,4281.60,loss,-0.73,M5,,DNA
backtest,BUY,4290.72,4305.60,4283.28,loss,-0.74,M5,,DNA
backtest,BUY,4292.07,4307.23,4284.49,loss,-0.76,M5,,DNA
backtest,BUY,4286.81,4302.41,4279.01,loss,-0.78,M5,,DNA
backtest,BUY,4289.37,4305.03,4281.53,loss,-0.78,M5,,DNA
backtest,BUY,4291.37,4306.76,4283.68,loss,-0.77,M5,,DNA
backtest,BUY,4286.47,4301.39,4279.01,loss,-0.75,M5,,DNA
backtest,BUY,4288.18,4303.08,4280.73,loss,-0.74,M5,,DNA
backtest,BUY,4287.76,4302.31,4280.48,loss,-0.73,M5,,DNA
backtest,BUY,4290.82,4304.40,4284.03,loss,-0.68,M5,,DNA
backtest,BUY,4282.21,4295.47,4275.58,loss,-0.66,M5,,DNA
backtest,BUY,4277.32,4291.38,4270.29,win,1.41,M5,,DNA
backtest,BUY,4300.75,4322.28,4289.98,loss,-1.08,M5,,DNA
backtest,SELL,4295.24,4269.62,4308.06,loss,-1.28,M5,,DNA
backtest,BUY,4292.00,4317.12,4279.44,win,2.51,M5,,DNA
backtest,BUY,4289.91,4314.56,4277.59,win,2.47,M5,,DNA
backtest,BUY,4293.95,4316.70,4282.58,win,2.27,M5,,DNA
backtest,BUY,4293.90,4311.02,4285.34,win,1.71,M5,,DNA
backtest,BUY,4300.60,4317.41,4292.19,win,1.68,M5,,DNA
backtest,BUY,4303.75,4321.44,4294.90,win,1.77,M5,,DNA
backtest,BUY,4301.22,4317.48,4293.10,win,1.63,M5,,DNA
backtest,BUY,4301.22,4318.36,4292.64,win,1.71,M5,,DNA
backtest,BUY,4301.45,4317.48,4293.43,win,1.60,M5,,DNA
backtest,BUY,4299.97,4315.58,4292.17,win,1.56,M5,,DNA
backtest,BUY,4303.77,4319.81,4295.75,win,1.60,M5,,DNA
backtest,BUY,4310.48,4325.75,4302.85,win,1.53,M5,,DNA
backtest,BUY,4332.28,4354.21,4321.32,loss,-1.10,M5,,DNA
backtest,BUY,4333.48,4350.50,4324.98,loss,-0.85,M5,,DNA
backtest,BUY,4332.26,4349.12,4323.83,loss,-0.84,M5,,DNA
backtest,BUY,4337.96,4355.62,4329.13,loss,-0.88,M5,,DNA
backtest,BUY,4337.46,4355.63,4328.38,loss,-0.91,M5,,DNA
backtest,BUY,4327.55,4344.65,4318.99,win,1.71,M5,,DNA
backtest,BUY,4332.81,4351.31,4323.56,loss,-0.93,M5,,DNA
backtest,BUY,4331.66,4349.94,4322.52,loss,-0.91,M5,,DNA
backtest,BUY,4324.95,4343.37,4315.73,win,1.84,M5,,DNA
backtest,BUY,4325.11,4344.28,4315.52,win,1.92,M5,,DNA
backtest,BUY,4324.89,4344.36,4315.15,win,1.95,M5,,DNA
backtest,BUY,4332.91,4351.94,4323.39,loss,-0.95,M5,,DNA
backtest,SELL,4332.39,4311.52,4342.82,loss,-1.04,M5,,DNA
backtest,BUY,4335.59,4355.14,4325.81,loss,-0.98,M5,,DNA
backtest,BUY,4344.70,4363.69,4335.20,loss,-0.95,M5,,DNA
backtest,BUY,4343.20,4365.16,4332.22,loss,-1.10,M5,,DNA
backtest,BUY,4335.97,4357.09,4325.41,loss,-1.06,M5,,DNA
backtest,BUY,4337.35,4359.33,4326.36,loss,-1.10,M5,,DNA
backtest,BUY,4327.36,4349.42,4316.33,loss,-1.10,M5,,DNA
backtest,BUY,4316.34,4333.94,4307.55,win,1.76,M5,,DNA
backtest,BUY,4320.15,4337.62,4311.42,win,1.75,M5,,DNA
backtest,BUY,4322.47,4337.75,4314.82,win,1.53,M5,,DNA
backtest,BUY,4326.28,4342.25,4318.30,win,1.60,M5,,DNA
backtest,BUY,4332.87,4349.59,4324.51,loss,-0.84,M5,,DNA
backtest,BUY,4327.41,4345.33,4318.45,win,1.79,M5,,DNA
backtest,BUY,4323.71,4342.18,4314.48,win,1.85,M5,,DNA
backtest,SELL,4331.42,4310.84,4341.71,loss,-1.03,M5,,DNA
backtest,BUY,4342.27,4355.28,4335.76,loss,-0.65,M5,,DNA
backtest,BUY,4340.42,4352.30,4334.48,loss,-0.59,M5,,DNA
backtest,BUY,4341.18,4353.89,4334.83,loss,-0.64,M5,,DNA
