source,direction,entry,tp,sl,result,pnl,tf,openTime,rule
backtest,BUY,4261.79,4296.81,4244.28,loss,-1.75,M5,,DNA
backtest,BUY,4259.72,4293.09,4243.04,loss,-1.67,M5,,DNA
backtest,BUY,4264.43,4294.61,4249.34,loss,-1.51,M5,,DNA
backtest,BUY,4262.78,4293.17,4247.59,loss,-1.52,M5,,DNA
backtest,SELL,4241.86,4209.14,4258.21,loss,-1.64,M5,,DNA
backtest,BUY,4266.69,4284.43,4257.82,loss,-0.89,M5,,DNA
backtest,BUY,4258.54,4274.22,4250.70,win,1.57,M5,,DNA
backtest,BUY,4257.23,4273.56,4249.07,win,1.63,M5,,DNA
backtest,BUY,4260.35,4274.93,4253.07,win,1.46,M5,,DNA
backtest,BUY,4264.72,4280.26,4256.96,loss,-0.78,M5,,DNA
backtest,BUY,4264.29,4279.62,4256.62,loss,-0.77,M5,,DNA
backtest,BUY,4267.32,4282.29,4259.84,loss,-0.75,M5,,DNA
backtest,BUY,4272.98,4287.74,4265.59,loss,-0.74,M5,,DNA
backtest,BUY,4270.61,4286.24,4262.80,loss,-0.78,M5,,DNA
backtest,BUY,4270.14,4287.61,4261.41,loss,-0.87,M5,,DNA
backtest,BUY,4269.32,4286.79,4260.58,loss,-0.87,M5,,DNA
backtest,BUY,4265.17,4280.50,4257.51,loss,-0.77,M5,,DNA
backtest,BUY,4264.05,4280.49,4255.84,loss,-0.82,M5,,DNA
backtest,BUY,4267.82,4282.64,4260.41,loss,-0.74,M5,,DNA
backtest,BUY,4270.58,4284.53,4263.60,loss,-0.70,M5,,DNA
backtest,BUY,4269.45,4283.49,4262.44,loss,-0.70,M5,,DNA
backtest,BUY,4267.98,4282.39,4260.77,loss,-0.72,M5,,DNA
backtest,BUY,4260.54,4275.16,4253.24,loss,-0.73,M5,,DNA
backtest,SELL,4253.46,4239.65,4260.37,loss,-0.69,M5,,DNA
backtest,BUY,4258.36,4272.41,4251.33,loss,-0.70,M5,,DNA
backtest,BUY,4260.25,4267.61,4256.56,loss,-0.37,M5,,DNA
backtest,BUY,4260.08,4266.39,4256.93,loss,-0.32,M5,,DNA
backtest,BUY,4260.75,4266.09,4258.08,loss,-0.27,M5,,DNA
backtest,BUY,4261.21,4266.49,4258.57,loss,-0.26,M5,,DNA
backtest,BUY,4261.63,4266.39,4259.25,loss,-0.24,M5,,DNA
backtest,BUY,4262.09,4266.54,4259.86,loss,-0.22,M5,,DNA
backtest,BUY,4262.44,4266.61,4260.35,loss,-0.21,M5,,DNA
backtest,BUY,4262.81,4266.53,4260.94,loss,-0.19,M5,,DNA
backtest,BUY,4263.25,4266.23,4261.77,loss,-0.15,M5,,DNA
backtest,BUY,4264.05,4266.67,4262.75,loss,-0.13,M5,,DNA
backtest,BUY,4264.12,4266.57,4262.90,loss,-0.12,M5,,DNA
backtest,BUY,4264.23,4266.37,4263.15,loss,-0.11,M5,,DNA
backtest,BUY,4264.26,4266.30,4263.23,loss,-0.10,M5,,DNA
backtest,BUY,4264.61,4266.33,4263.75,loss,-0.09,M5,,DNA
backtest,BUY,4252.75,4254.43,4251.91,win,0.17,M5,,DNA
backtest,BUY,4252.35,4258.25,4249.40,loss,-0.29,M5,,DNA
backtest,BUY,4255.23,4262.96,4251.36,loss,-0.39,M5,,DNA
backtest,BUY,4253.42,4262.16,4249.05,loss,-0.44,M5,,DNA
backtest,BUY,4254.48,4263.88,4249.78,loss,-0.47,M5,,DNA
backtest,BUY,4256.00,4265.75,4251.12,loss,-0.49,M5,,DNA
