source,direction,entry,tp,sl,result,pnl,tf,openTime,rule
backtest,BUY,4332.54,4345.80,4325.92,loss,-0.66,M5,,DNA
backtest,BUY,4335.64,4349.00,4328.96,loss,-0.67,M5,,DNA
backtest,BUY,4340.08,4348.62,4335.81,loss,-0.43,M5,,DNA
backtest,BUY,4343.05,4350.74,4339.21,loss,-0.38,M5,,DNA
backtest,BUY,4342.59,4350.41,4338.69,loss,-0.39,M5,,DNA
backtest,BUY,4342.75,4350.51,4338.87,loss,-0.39,M5,,DNA
backtest,BUY,4342.97,4350.84,4339.03,loss,-0.39,M5,,DNA
backtest,BUY,4342.68,4350.17,4338.94,loss,-0.37,M5,,DNA
backtest,BUY,4341.94,4349.02,4338.40,loss,-0.35,M5,,DNA
backtest,BUY,4337.54,4344.83,4333.90,win,0.73,M5,,DNA
backtest,BUY,4337.65,4346.41,4333.27,loss,-0.44,M5,,DNA
backtest,SELL,4337.22,4328.15,4341.76,loss,-0.45,M5,,DNA
backtest,BUY,4339.86,4349.44,4335.08,loss,-0.48,M5,,DNA
backtest,BUY,4341.19,4351.24,4336.16,loss,-0.50,M5,,DNA
backtest,BUY,4342.95,4352.44,4338.20,loss,-0.47,M5,,DNA
backtest,BUY,4339.17,4348.95,4334.29,loss,-0.49,M5,,DNA
backtest,BUY,4340.04,4350.28,4334.92,loss,-0.51,M5,,DNA
backtest,BUY,4339.74,4350.48,4334.36,loss,-0.54,M5,,DNA
backtest,BUY,4340.80,4353.56,4334.42,loss,-0.64,M5,,DNA
backtest,BUY,4341.06,4354.14,4334.52,loss,-0.65,M5,,DNA
backtest,BUY,4335.77,4348.06,4329.62,loss,-0.61,M5,,DNA
backtest,BUY,4334.01,4347.45,4327.29,loss,-0.67,M5,,DNA
backtest,BUY,4330.68,4344.08,4323.98,win,1.34,M5,,DNA
backtest,BUY,4331.50,4345.13,4324.69,win,1.36,M5,,DNA
backtest,BUY,4332.21,4346.16,4325.23,win,1.40,M5,,DNA
backtest,BUY,4329.33,4343.03,4322.49,win,1.37,M5,,DNA
backtest,BUY,4352.71,4366.85,4345.65,loss,-0.71,M5,,DNA
